1,leopa
2,white_cat
3,black_cat
4,waterfall
5,guppy-1
6,guppy-2
7,guppy-3
8,donko
9,mosquito
10,roomba
11,15096
12,15097
13,15098
14,15099
15,15090
16,15088
17,15087
18,15086
19,15084
20,15089
21,15070
22,15093
23,15001
24,15103
25,15105
26,15104
27,15106
28,15107
29,15108
30,15102
31,15109
32,15110
33,15111
34,15112
35,15113
36,15114
37,15115
38,15116
39,15117
40,15118
41,15119
42,15120
43,15121
44,15122
45,15123
46,15124
47,15125
48,15126
49,15127
50,15128
51,15129
52,15130
53,15131
54,15132
55,15133
56,15134
57,15135
58,15136
59,15137
60,15138
61,15139
62,15140
63,15141
64,15142
65,15144
66,15143
67,15145
68,15146
69,15147
70,15148
71,15149
72,15150
73,15151
74,15152
75,15153
76,15001
77,15154
78,15155
79,15156
80,15157
81,15158
82,15159
83,15160
84,15161
85,15162
86,15163
87,15164
88,15165
