0,jewel1a-1,0,1
1,jewel1a-2,0,1
2,jewel1a-3,0,1
3,jewel1a-4,0,1
4,jewel1a-5,0,1
5,jewel1b-1,0,1
6,jewel1b-2,0,1
7,jewel1b-3,0,1
8,jewel1b-4,0,1
9,jewel1b-5,0,1
10,jewel1c-1,0,1
11,jewel1c-2,0,1
12,jewel1c-3,0,1
13,jewel1c-4,0,1
14,jewel1c-5,0,1
15,jewel1d-1,0,1
16,jewel1d-2,0,1
17,jewel1d-3,0,1
18,jewel1d-4,0,1
19,jewel1d-5,0,1
20,jewel1e-1,0,1
21,jewel1e-2,0,1
22,jewel1e-3,0,1
23,jewel1e-4,0,1
24,jewel1e-5,0,1
25,jewel1f-1,0,1
26,jewel1f-2,0,1
27,jewel1f-3,0,1
28,jewel1f-4,0,1
29,jewel1f-5,0,1
30,jewel1g-1,0,1
31,jewel1g-2,0,1
32,jewel1g-3,0,1
33,jewel1g-4,0,1
34,jewel1g-5,0,1
35,jewel1h-1,0,1
36,jewel1h-2,0,1
37,jewel1h-3,0,1
38,jewel1h-4,0,1
39,jewel1h-5,0,1
40,jewel1i-1,0,1
41,jewel1i-2,0,1
42,jewel1i-3,0,1
43,jewel1i-4,0,1
44,jewel1i-5,0,1
45,jewel1j-1,0,1
46,jewel1j-2,0,1
47,jewel1j-3,0,1
48,jewel1j-4,0,1
49,jewel1j-5,0,1
50,jewel1k-1,0,1
51,jewel1k-2,0,1
52,jewel1k-3,0,1
53,jewel1k-4,0,1
54,jewel1k-5,0,1
55,jewel1l-1,0,1
56,jewel1l-2,0,1
57,jewel1l-3,0,1
58,jewel1l-4,0,1
59,jewel1l-5,0,1
60,jewel1m-1,0,1
61,jewel1m-2,0,1
62,jewel1m-3,0,1
63,jewel1m-4,0,1
64,jewel1m-5,0,1
65,jewel1n-1,0,1
66,jewel1n-2,0,1
67,jewel1n-3,0,1
68,jewel1n-4,0,1
69,jewel1n-5,0,1
70,jewel1o-1,0,1
71,jewel1o-2,0,1
72,jewel1o-3,0,1
73,jewel1o-4,0,1
74,jewel1o-5,0,1
75,jewel1p-1,0,1
76,jewel1p-2,0,1
77,jewel1p-3,0,1
78,jewel1p-4,0,1
79,jewel1p-5,0,1
80,jewel1q-1,0,1
81,jewel1q-2,0,1
82,jewel1q-3,0,1
83,jewel1q-4,0,1
84,jewel1q-5,0,1
85,jewel1r-1,0,1
86,jewel1r-2,0,1
87,jewel1r-3,0,1
88,jewel1r-4,0,1
89,jewel1r-5,0,1
90,jewel1s-1,0,1
91,jewel1s-2,0,1
92,jewel1s-3,0,1
93,jewel1s-4,0,1
94,jewel1s-5,0,1
95,jewel1t-1,0,1
96,jewel1t-2,0,1
97,jewel1t-3,0,1
98,jewel1t-4,0,1
99,jewel1t-5,0,1
100,flowers,0,1
